2021-02-08,7.5212,8.5399,6.343,6.4693,13199630.35
2021-02-09,6.4613,7.8011,6.0444,7.1701,14209485.9
2021-02-10,7.1702,7.7,6.1231,6.5006,8456879.68
2021-02-11,6.5229,8.4,6.273,7.5642,10147916.02
2021-02-12,7.5896,8.7654,7.1818,8.5666,7604653.62
2021-02-13,8.5665,10.35,7.7,9.7521,7962687.46
2021-02-14,9.7521,12.1483,9.3481,11.6995,14802408.24
2021-02-15,11.6985,14.5,9.7,13.4046,16430777.68
2021-02-16,13.4,14.78,11.8132,12.6111,9779209.06
2021-02-17,12.6101,12.9825,10.8575,11.2271,7572464.8
2021-02-18,11.2271,12.79,11.2001,11.2602,5906220.98
2021-02-19,11.2601,11.4363,10.0,10.2395,6318082.56
2021-02-20,10.1957,12.4,9.5666,10.2886,9847526.75
2021-02-21,10.2961,11.49,10.0253,10.599,4962359.13
2021-02-22,10.6235,11.1077,7.3063,9.177,6913423.05
2021-02-23,9.18,9.2543,6.2,7.6095,6465338.06
2021-02-24,7.6105,9.0875,7.0539,8.4898,6597505.48
2021-02-25,8.4963,9.9557,8.01,8.1632,6409571.82
2021-02-26,8.1618,8.888,7.3,7.996,5075256.86
2021-02-27,7.9957,8.652,7.4823,7.7512,2950811.05
2021-02-28,7.7606,7.8647,6.3656,6.9102,3506966.1
2021-03-01,6.8798,7.8485,6.8212,7.6123,2946222.0
2021-03-02,7.6087,8.5,7.2,8.2923,5164424.7
2021-03-03,8.281,8.95,8.0,8.1853,4706045.74
2021-03-04,8.1854,8.5,7.52,7.7795,3248850.04
2021-03-05,7.7806,7.9512,7.1,7.7,2515430.41
2021-03-06,7.6995,8.5,7.6252,8.303,2768562.52
2021-03-07,8.3168,9.48,8.1213,9.2055,4843033.66
2021-03-08,9.2052,9.772,8.8701,9.21,3400875.55
2021-03-09,9.2096,10.3,8.9225,9.8714,4350359.8
2021-03-10,9.8665,9.9719,8.7,8.845,3381041.97
2021-03-11,8.843,9.205,8.5,8.6852,2516726.56
2021-03-12,8.7133,9.24,7.7309,8.065,3604153.19
2021-03-13,8.1095,10.39,7.8,10.0,5339294.07
2021-03-14,9.99,11.9367,9.2915,10.8959,7968773.56
2021-03-15,10.8768,11.6314,9.3836,10.3316,6012413.43
2021-03-16,10.3472,11.5111,9.7492,11.4,3794062.69
2021-03-17,11.413,11.9,10.4234,10.7903,2814056.21
2021-03-18,10.7902,11.68,10.6504,11.0937,2561517.66
2021-03-19,11.0914,12.5,10.6003,11.6809,2850630.34
2021-03-20,11.6788,12.1,10.4905,10.5311,1827152.65
2021-03-21,10.5114,10.9722,10.0,10.6,2049821.04
2021-03-22,10.6199,10.8079,9.17,9.4034,1989421.88
2021-03-23,9.4105,9.8418,8.8,8.9082,2107032.44
2021-03-24,8.9297,9.76,7.7148,8.1177,2366478.56
2021-03-25,8.1178,8.5051,7.5811,8.1232,2215298.3
2021-03-26,8.131,9.22,8.1102,8.9268,1632471.19
2021-03-27,8.9449,9.5449,8.7499,9.0732,1793420.46
2021-03-28,9.0667,9.661,8.88,9.1404,1782927.71
2021-03-29,9.1539,10.1514,8.7623,9.8302,2143347.44
2021-03-30,9.8306,10.19,9.6101,9.7234,1389015.91
2021-03-31,9.7467,9.7907,8.5869,9.2442,2129896.12
2021-04-01,9.2709,9.4358,8.93,9.119,1485460.88
2021-04-02,9.0932,9.7811,9.0429,9.5258,1583306.17
2021-04-03,9.5259,10.1568,8.71,8.86,1941199.64
2021-04-04,8.8575,9.8,8.7001,9.6015,1384153.55
2021-04-05,9.6091,10.31,9.2,9.8168,2158210.67
2021-04-06,9.8365,10.6605,9.51,10.4781,2691300.4
2021-04-07,10.4757,10.887,9.0148,9.3356,2645235.03
2021-04-08,9.3697,10.7772,9.2904,10.6133,2386034.2
2021-04-09,10.6075,12.6,10.594,12.0007,8726686.67
2021-04-10,11.9967,12.43,11.0338,11.4306,3945985.5
2021-04-11,11.4333,12.1863,11.03,11.5394,3368499.71
2021-04-12,11.5342,13.1,11.3233,12.7765,5155417.06
2021-04-13,12.7766,13.2972,11.1963,11.4888,3317848.15
2021-04-14,11.488,11.92,10.3861,11.4362,3203199.72
2021-04-15,11.4373,12.65,11.185,12.3615,3263438.87
2021-04-16,12.3861,12.48,10.877,11.2665,2223936.19
2021-04-17,11.2635,13.39,11.2,12.5103,3933126.25
2021-04-18,12.5104,13.1935,7.7935,10.1822,6104762.05
2021-04-19,10.18,10.95,8.7,8.9385,3281144.27
2021-04-20,8.9252,9.3589,7.9,9.1814,2829829.96
2021-04-21,9.1797,9.7,8.74,8.865,2204696.5
2021-04-22,8.863,9.5383,7.65,8.0504,3037070.37
2021-04-23,8.0549,8.1763,6.6047,7.7388,3473411.74
2021-04-24,7.7376,7.7582,6.9001,7.0131,1541819.2
2021-04-25,7.0392,7.7703,6.7,7.2194,1432849.09
2021-04-26,7.2197,8.4,7.1282,8.0439,2082073.96
2021-04-27,8.0271,9.3543,7.9184,8.9833,2874543.73
2021-04-28,8.9833,9.1499,8.1737,8.611,2142523.73
2021-04-29,8.6114,9.0,8.077,8.4793,1977392.65
2021-04-30,8.4663,9.35,8.3122,9.1557,2057117.2
2021-05-01,9.1343,9.49,8.7087,9.25,1634312.52
2021-05-02,9.242,9.3833,8.7224,9.112,1697987.83
